window_minutes,fill_model,slippage_cents,trades,wins,win_rate,avg_entry_price,taker_fees,net_pnl,capital_deployed,net_roi,max_drawdown
1,next_trade_taker,0,77,57,0.7402597402597403,0.7942337662337664,110.9361,-857.7856230229193,7810.936100000001,-0.10981854313504359,-1008.4263859480062
1,next_trade_taker,1,77,57,0.7402597402597403,0.7942337662337664,105.54610000000001,-938.197587218988,7805.546099999999,-0.12019627777472075,-1066.604337803041
1,next_trade_taker,2,77,57,0.7402597402597403,0.7942337662337664,100.16609999999999,-1016.4679056787462,7800.166099999998,-0.1303136231520437,-1123.1732596252987
1,observed_trade_capacity,0,8,7,0.875,0.8839999999999999,6.5,-20.543785301462414,806.5,-0.02547276540788892,-101.26
1,observed_trade_capacity,1,8,7,0.875,0.8839999999999999,5.9399999999999995,-28.73392008367881,805.94,-0.03565267896329604,-101.19
1,observed_trade_capacity,2,8,7,0.875,0.8839999999999999,5.380000000000001,-36.73087557921299,805.3799999999999,-0.04560688815119943,-101.12
2,next_trade_taker,0,250,214,0.856,0.875028,218.8615,-898.9220727844398,25218.8615,-0.035644831658417246,-958.7832385131567
2,next_trade_taker,1,250,214,0.856,0.875028,201.361,-1155.8991219723862,25201.360999999997,-0.045866535619738406,-1180.34276181913
2,next_trade_taker,2,250,214,0.856,0.875028,183.861,-1406.7165984310595,25183.861,-0.055857860652544875,-1428.7730719575363
2,observed_trade_capacity,0,24,22,0.9166666666666666,0.8879166666666666,18.8382,51.14187919437934,2418.8381999999997,0.021143158394959758,-112.46770947591311
2,observed_trade_capacity,1,24,22,0.9166666666666666,0.8879166666666666,17.158,25.335050694713246,2417.1580000000004,0.010481338288483103,-119.90219234829254
2,observed_trade_capacity,2,25,23,0.92,0.88916,15.908000000000001,6.200780969113236,2515.908,0.0024646294574814484,-127.15449775860044
3,next_trade_taker,0,550,490,0.8909090909090909,0.8824563636363636,453.046,35.312754039148416,55453.046,0.0006368045866975173,-643.5721143842718
3,next_trade_taker,1,550,490,0.8909090909090909,0.8824563636363636,414.56570000000005,-550.7845105475959,55414.56570000001,-0.009939345433642834,-894.5195576452793
3,next_trade_taker,2,550,490,0.8909090909090909,0.8824563636363636,376.28549999999996,-1120.403418223096,55376.2855,-0.02023254915180427,-1346.7801394499913
3,observed_trade_capacity,0,36,34,0.9444444444444444,0.9034999999999999,24.3791,129.34942033253918,3624.3791000000006,0.0356887115733945,-176.1494482132124
